Time,Vdc,Adc
1678483775.2824152, 4.7193e1, 1.4981e1
1678483775.7664523, 4.7193e1, 1.4981e1
1678483776.235242, 4.7192e1, 1.4981e1
1678483776.8680005, 4.7192e1, 1.4981e1
1678483777.282454, 4.7191e1, 1.4981e1
1678483777.7665117, 4.7191e1, 1.4981e1
1678483778.2354443, 4.7190e1, 1.4981e1
1678483778.8678157, 4.7189e1, 1.4981e1
1678483779.2835088, 4.7188e1, 1.4981e1
1678483779.7665713, 4.7188e1, 1.4981e1
1678483780.2357192, 4.7187e1, 1.4981e1
1678483780.868984, 4.7187e1, 1.4981e1
1678483781.28358, 4.7186e1, 1.4981e1
1678483781.7667258, 4.7186e1, 1.4981e1
1678483782.235967, 4.7185e1, 1.4981e1
1678483782.8691113, 4.7184e1, 1.4981e1
1678483783.2835956, 4.7184e1, 1.4981e1
1678483783.766664, 4.7183e1, 1.4980e1
1678483784.2362843, 4.7183e1, 1.4980e1
1678483784.8691292, 4.7182e1, 1.4980e1
1678483785.283655, 4.7181e1, 1.4980e1
1678483785.7677126, 4.7180e1, 1.4980e1
1678483786.236481, 4.7180e1, 1.4980e1
1678483786.8691866, 4.7179e1, 1.4980e1
1678483787.2847383, 4.7178e1, 1.4980e1
1678483787.7677484, 4.7177e1, 1.4980e1
1678483788.2369006, 4.7177e1, 1.4980e1
1678483788.8692164, 4.7176e1, 1.4980e1
1678483789.2848167, 4.7176e1, 1.4980e1
1678483789.767811, 4.7175e1, 1.4980e1
1678483790.2370384, 4.7175e1, 1.4980e1
1678483790.870235, 4.7174e1, 1.4980e1
1678483791.2848606, 4.7174e1, 1.4980e1
1678483791.767836, 4.7173e1, 1.4980e1
1678483792.2372584, 4.7173e1, 1.4980e1
1678483792.8702078, 4.7173e1, 1.4980e1
1678483793.2848513, 4.7172e1, 1.4980e1
